№ п/п;Реестровый №;Наименование юридического лица, которому имущество области передано в пользование;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб;Материальные запасы, тыс.руб.;
175;3900;Муниципальное бюджетное образовательное учреждение для детей сирот и детей, оставшихся без попечения родителей "Тотемский детский дом";161300 Тотемский р-н, д.Варницы, ул.Воскресенская, 21;7891.2404900000001;1409.19424;;;
176;3901;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Шекснинского муниципального района "Шекснинский детский дом";162562 п.Шексна, ул.Путейская, 39-а;1133.317;442.00104999999996;;;
177;3903;Бюджетное учреждение социального обслуживания Вытегорского муниципального района "Комплексный центр социального обслуживания населения";162900 г.Вытегра, ул.Луначарского, 53;5609.0170499999995;2892.0118900000002;;;
178;3905;Муниципальное бюджетное учреждение социального обслуживания Белозерского муниципального района "Комплексный центр социального обслуживания населения";161200 г.Белозерск, ул.Карла Маркса, 62;1426.38284;182.81374;;;
179;3907;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, "Специальный (коррекционный) детский дом для детей с ограниченными возможностями здоровья №3";160035 г.Вологда, ул.Козленская, 44-а;9705.4293000000016;4792.0296900000003;;;
180;3908;Муниципальное бюджетное учреждение социального обслуживания Белозерского муниципального района "Дом-интернат для престарелых и инвалидов";161240 Белозерский р-н, с.Зубово, ул.Лечебная, 22;3466.20019;744.82660999999996;;;
181;3909;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Чагодощенского муниципального района "Чагодощенский детский дом";162400 п.Чагода, ул.Советская, 16-ж;16178.808359999999;364.61258000000004;;;
182;3911;Муниципальное бюджетное учреждение социального обслуживания Бабаевского муниципального района "Центр социальной помощи семье и детям";162480 г.Бабаево, ул.Карла Маркса, 41;265.46089000000001;165.4675;;;
183;3913;Бюджетное учреждение Грязовецкого муниципального района Вологодской области "Централизованная бухгалтерия системы социального обслуживания";162100 г.Грязовец, ул.Румянцева, 30-а;158.30562;17.705500000000001;;;
184;3915;Бюджетное учреждение социального обслуживания Грязовецкого муниципального района Вологодской области "Социально-реабилитационный центр для несовершеннолетних "Лада";162000 г.Грязовец, пр-кт Ленина, 64;3688.1579400000001;404.37588;;;
185;3916;Бюджетное учреждение социального обслуживания Ггрязовецкого муниципального района Вологодской области "Дом-интернат для престарелых и инвалидов";162000 г.Грязовец, ул.Румянцевой, 13;940.74977000000001;127.498;;;
186;3917;Бюджетное учреждение социального обслуживания Грязовецкого муниципального района Вологодской области "Комплексный центр социального обслуживания населения";162000 г.Грязовец, ул.Румянцевой, 30-а;3001.4906800000003;1104.4223500000001;;;
187;3919;Муниципальное учреждение "Нюксенский центр социальной помощи семье и детям";161380 с.Нюксеница, ул.Советская, 9;610.78588999999999;410.73621999999995;;;
188;3920;Бюджетное учреждение социального обслуживания "Комплексный центр социального обслуживания населения" Нюксенского муниципального района;161380 с.Нюксеница, ул.Набережная, 29;2929.6280200000001;626.81906000000004;;;
189;3921;Бюджетное  учреждение социального обслуживания "Дом-интернат для престарелых и инвалидов" Нюксенского муниципального района;161380 с.Нюксеница, ул.Советская, 18;3867.5529900000001;351.59667999999999;;;
190;3922;Управление социальной защиты населения Кичменгско-Городецкого муниципального района;161400 с.Кичменгский Городок, ул.Комсомольская, 9;1081.1509799999999;621.26306999999997;;;
191;3923;Управление социальной защиты населения Бабаевского муниципального района Вологодской области;162480 г.Бабаево, ул.Ухтомского, 1;1030.3979100000001;697.88387999999998;;;
192;3924;Бюджетное учреждение социального обслуживания Вашкинского муниципального района "Комплексный центр социального обслуживания населения";161250 Вашкинский р-н, с.Липин Бор, ул.Смирнова, 4;1989.9662900000001;277.22699999999998;;;
193;3925;Управление социальной защиты населения администрации Грязовецкого муниципального района;162000 г.Грязовец, ул.Карла Маркса, 58;1647.64876;614.90622999999994;;;
194;3928;Отдел социальной защиты населения администрации Тарногского муниципального района;161560 с.Тарногский Городок, ул.Октябрьская, 14;3759.1076600000001;2946.7942000000003;;;
195;3929;Управление социальной защиты населения Тотемского муниципального района;161300 г.Тотьма, ул.Белоусовская, 34;1089.1937600000001;653.55507;;;
196;3930;Комитет социальной защиты населения г.Череповца;162606 г.Череповец, ул.Сталеваров, 54;21839.598910000001;11816.104800000001;;;
197;3933;Управление социальной защиты населения Вологодского муниципального района;160000 г.Вологда, ул.Пушкинская, 24;1592.4184299999999;734.23238000000003;;;
198;3934;Управление социальной защиты населения Сокольского муниципального района;162130 г.Сокол, ул.Советская, 73;2940.8769400000001;2173.7682;;;
199;3936;Управление труда и социальной защиты населения Междуреченского муниципального района;161050 Междуреченский р-н, с.Шуйское, ул.Советская, 14;2215.4420099999998;972.48136;;;
200;3938;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, "Детский дом № 5";160028 г.Вологда, ул.Лечебная, 26;9023.6649199999993;3326.4026800000001;;;
201;3939;Управление социальной защиты населения Верховажского муниципального района;162300 с.Верховажье, ул.Стебенева, 30;908.70292000000006;595.21093000000008;;;
202;3940;Управление социальной защиты населения Нюксенского муниципального района;161380 Нюксенский р-н, с.Нюксеница, ул.Первомайская, 13-а;2097.3719000000001;877.75437999999997;;;
203;3941;Управление социальной защиты населения Сямженского муниципального района;162220 с.Сямжа, ул.Румянцева, 20;797.84799999999996;332.66283000000004;;;
204;3942;Управление социальной защиты населения Шекснинского муниципального района;162562 п.Шексна, ул.Пролетарская, 14;2440.3917200000001;759.11043000000006;;;
205;3976;Главное управление Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий по Вологодской области;160009 г.Вологда, ул.Мальцева, 41;405.30507;0;14178.88524;;
206;3980;Управление социальной защиты населения администрации Кирилловского муниципального района;161100 г.Кириллов, ул.Гостинодворская, 14;1167.4755400000001;802.78638999999998;;;
207;3981;Управление социальной защиты населения администрации Великоустюгского муниципального района;162390 г.Великий Устюг, ул.Красная, 51;4164.1989000000003;2003.84096;;;
