№ п/п;Реестровый №;Наименование юридического лица, которому имущество области передано в пользование;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб;Материальные запасы, тыс.руб.;
175;3900;Муниципальное бюджетное образовательное учреждение для детей сирот и детей, оставшихся без попечения родителей "Тотемский детский дом";161300 Тотемский р-н, д.Варницы, ул.Воскресенская, 21;7891,24049;1409,19424;;;
176;3901;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Шекснинского муниципального района "Шекснинский детский дом";162562 п.Шексна, ул.Путейская, 39-а;1133,317;442,00105;;;
177;3903;Бюджетное учреждение социального обслуживания Вытегорского муниципального района "Комплексный центр социального обслуживания населения";162900 г.Вытегра, ул.Луначарского, 53;5609,01705;2892,01189;;;
178;3905;Муниципальное бюджетное учреждение социального обслуживания Белозерского муниципального района "Комплексный центр социального обслуживания населения";161200 г.Белозерск, ул.Карла Маркса, 62;1426,38284;182,81374;;;
179;3907;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, "Специальный (коррекционный) детский дом для детей с ограниченными возможностями здоровья №3";160035 г.Вологда, ул.Козленская, 44-а;9705,4293;4792,02969;;;
180;3908;Муниципальное бюджетное учреждение социального обслуживания Белозерского муниципального района "Дом-интернат для престарелых и инвалидов";161240 Белозерский р-н, с.Зубово, ул.Лечебная, 22;3466,20019;744,82661;;;
181;3909;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Чагодощенского муниципального района "Чагодощенский детский дом";162400 п.Чагода, ул.Советская, 16-ж;16178,80836;364,61258;;;
182;3911;Муниципальное бюджетное учреждение социального обслуживания Бабаевского муниципального района "Центр социальной помощи семье и детям";162480 г.Бабаево, ул.Карла Маркса, 41;265,46089;165,4675;;;
183;3913;Бюджетное учреждение Грязовецкого муниципального района Вологодской области "Централизованная бухгалтерия системы социального обслуживания";162100 г.Грязовец, ул.Румянцева, 30-а;158,30562;17,7055;;;
184;3915;Бюджетное учреждение социального обслуживания Грязовецкого муниципального района Вологодской области "Социально-реабилитационный центр для несовершеннолетних "Лада";162000 г.Грязовец, пр-кт Ленина, 64;3688,15794;404,37588;;;
185;3916;Бюджетное учреждение социального обслуживания Ггрязовецкого муниципального района Вологодской области "Дом-интернат для престарелых и инвалидов";162000 г.Грязовец, ул.Румянцевой, 13;940,74977;127,498;;;
186;3917;Бюджетное учреждение социального обслуживания Грязовецкого муниципального района Вологодской области "Комплексный центр социального обслуживания населения";162000 г.Грязовец, ул.Румянцевой, 30-а;3001,49068;1104,42235;;;
187;3919;Муниципальное учреждение "Нюксенский центр социальной помощи семье и детям";161380 с.Нюксеница, ул.Советская, 9;610,78589;410,73622;;;
188;3920;Бюджетное учреждение социального обслуживания "Комплексный центр социального обслуживания населения" Нюксенского муниципального района;161380 с.Нюксеница, ул.Набережная, 29;2929,62802;626,81906;;;
189;3921;Бюджетное  учреждение социального обслуживания "Дом-интернат для престарелых и инвалидов" Нюксенского муниципального района;161380 с.Нюксеница, ул.Советская, 18;3867,55299;351,59668;;;
