№ п/п;Реестровый №;Наименование юридического лица, за которым закреплено имущество области ;Балансовая стоимость основных средств, тыс. руб.;Остаточная стоимость основных средств, тыс. руб;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
179;4255;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной врачебно-физкультурный диспансер";3196,77767;31,60008;;64,5459;;;-67,49949;
180;4257;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной противотуберкулезный диспансер";153143,23137;72072,84332;;29560,22543;;;-65219,96255;
181;4260;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной кожно-венерологический диспансер";53898,49318;15282,04442;;2316,40776;8,4;;-8630,35185;
182;4261;Бюджетное учреждение здравоохранения Вологодской области "Станция переливания крови №1";218435,66778;161328,90653;;45162,9001;;;24243,73771;
183;4262;Бюджетное учреждение здравоохранения Вологодской области "Вологодская областная клиническая больница";9718218,7515;841568,3306;;52410,72996;;;19906,30173;
184;4328;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Великоустюгский медицинский техникум имени Н.П.Бычихина";45801,96214;477,81454;;743,82573;;;-399,84965;
185;4329;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский областной медицинский колледж";37382,48406;13142,13522;;743,47322;;;-10068,07449;
186;4330;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Череповецкий медицинский колледж имени Н.М.Амосова";50736,74651;37514,6272;;87,60495;;;-36817,83456;
187;4335;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной наркологический диспансер №1";54474,05484;25102,03173;;3015,79936;;;-29004,85078;
188;4381;Бюджетное учреждение здравоохранения Вологодской области "Детский областной противотуберкулезный санаторий "Родничок";16343,80978;6373,56534;;726,46803;;;-6062,88754;
189;4385;Бюджетное учреждение здравоохранения Вологодской области "Тотемский детский санаторий "Зеленый Бор";9840,32021;1286,49979;;798,08339;;;93;
189;61;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Устюженский специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей,;26422,17782;251,04203;;1674,97051;;;-251,04203;
190;74;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Вологодский детский дом имени В.А. Гаврилина";41500,15995;17029,33375;;4525,6583;;;-15840,03397;
191;78;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Харовский детский дом";23124,6639;5915,23062;;2882,13698;;;-5476,13629;
192;82;Бюджетное образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья Вологодской области "Грязовецкая специальная (коррекционная) общеобразовательная школа-интернат III вида";29428,30444;7647,8843;;3301,12829;;;-2200,88526;
193;83;Бюджетное образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья Вологодской области "Грязовецкая специальная (коррекционная) общеобразовательная школа-интернат II вида";22809,3338;2975,78235;;5052,78217;;;-631,97094;
194;88;Бюджетное специальное учебно-воспитатальное учреждение для детей и подростков с девиантным поведением Вологодской области "Шекснинская специальная общеобразовательная школа закрытого типа";68076,22871;35252,30261;;2843,97363;;;-30088,05491;
195;93;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Белозерский детский дом";20299,79105;11967,55755;;2091,00324;;;-11538,40163;
196;94;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Великоустюгский детский дом №3";23356,88895;346,27052;;1699,66681;;;470,65223;
197;95;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Кадниковский детский дом №4";7656,08648;791,02742;;2722,57411;;;-405,96592;
198;101;Казенное образовательное учреждение Вологодской области "Вечерняя (сменная) общеобразовательная школа №2";545,58719;0;;;;;;
199;102;Государственное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей "Вологодский детский дом №1";60723,64782;46051,40519;;2338,72093;;;-45415,29557;
200;103;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Великоустюгский политехнический техникум";193483,33066;83620,79717;;5397,99478;;;7472,90029;
