№ п/п;Реестровый №;Наименование юридического лица, за которым закреплено имущество области ;Балансовая стоимость основных средств, тыс. руб.;Остаточная стоимость основных средств, тыс. руб;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
72;3979;Бюджетное учреждение Вологодской области в сфере поддержки субъектов малого и среднего предпринимательства "Бизнес-инкубатор";131624.07265000002;107008.64721;;;;;-130040.80137999999;
73;1152;бюджетное учреждение жилищно-коммунального хозяйства Вологодской области "Вологдаоблжилкомхоз";1254542.7977700001;1090078.84326;;;;;-1114935.71695;
74;3741;Специализированное автономное учреждение лесного хозяйства Вологодской области "Грязовецкий лесхоз";19782.784629999998;4262.9142300000003;;;;;7588.4854599999999;
75;3743;Специализированное автономное учреждение Вологодской области "Сямженский лесхоз";17972.524600000001;5480.9704400000001;;;;;-4098.3482299999996;
76;3748;Специализированное автономное учреждение лесного хозяйства Вологодской области "Бабаевский лесхоз";56841.725049999994;39056.065869999999;;;;;-902.08560999999997;
77;3755;Специализированное автономное учреждение лесного хозяйства Вологодской области "Кадниковский лесхоз";32655.4503;12632.924369999999;595.76599999999996;661.76751999999999;;;-10779.01851;
78;3757;Специализированное автономное учреждение лесного хозяйства Вологодской области "Никольский лесхоз";24437.811610000001;5809.49269;215.44860999999997;4284.3841600000005;;;2186.4515200000001;
79;3758;Специализированное автономное учреждение Вологодской области "Череповецкий лесхоз";82854.600139999995;49866.775110000002;169.3;1992.2748999999999;;;-46384.856619999999;
80;3762;Специализированное автономное учреждение лесного хозяйства Вологодской области "Кадуйский лесхоз";15458.68139;1714.2993899999999;10.271000000000001;1700.02331;;;-1038.42563;
81;3764;Автономное учреждение Вологодской области "Борисово-Судский лесхоз";39547.230619999995;9409.5702400000009;;;;;65.327240000000003;
82;3773;Специализированное автономное учреждение лесного хозяйства Вологодской области "Вологодское лесохозяйственное объединение";1025148.86759;419812.55488999997;90529.229940000005;;;;;
83;3992;Специализированное автономное учреждение лесного хозяйства Вологодской области "Вологодская база авиационной охраны лесов";14448.70082;5913.2179500000002;;;;;-771.69841000000008;
84;3997;Бюджетное учреждение лесного хозяйства Вологодской области "Вологодский селекционный лесохозяйственный центр";7684.4120300000004;1541.1096699999998;;;;;-752.3424399999999;
85;915;Казенное учреждение Вологодской области "Управление автомобильных дорог Вологодской области";79264263.653170004;41425502.916859999;724504.76227000018;724504.76226999995;;;460.75056999999998;
86;3482;Бюджетное образовательное учреждение в сфере охраны окружающей среды и природопользования Вологодской области "Институт развития экологии "ЭЛПРОС";2132.88724;299.19019000000003;;;;;;
87;3523;Бюджетное учреждение контроля качества продукции агропромышленного комплекса Вологодской области "Вологодский областной центр контроля качества";1445838.4630799999;582521.05432;2423.0250000000001;;;178.5;1332.3;
88;2;Бюджетное учреждение здравоохранения Вологодской области "Медицинский информационно-аналитический центр";12681.14575;4312.5619299999998;;;;;-2819.11292;
89;3;Бюджетное учреждение здравоохранения Вологодской области "Областной медицинский центр мобилизационных резервов "Резерв";78177.939709999991;3755.7775099999999;;;;;276.88617999999997;
90;5;Бюджетное учреждение здравоохранения Вологодской области "Великоустюгский детский противотуберкулезный санаторий "Гледенский";3065.2742499999999;15.32368;;;;;10.32091;
91;132;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной противотуберкулёзный диспансер №3";16407.906660000001;5400.3434200000002;;;;;-5301.1609500000004;
92;508;Бюджетное учреждение здравоохранения Вологодской области "Станция переливания крови №2";159236.68678999998;145111.81122;;;;;-9201.4748600000003;
93;553;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной центр медицинской профилактики";4558.9640099999997;497.64490000000001;;;;;-469.12119000000001;
94;922;Бюджетное учреждение здравоохранения Вологодской области "Сокольская центральная районная больница";362103.43387999997;132076.14348999999;;;;;-92925.740569999994;
95;923;Бюджетное учреждение здравоохранения Вологодской области "Сямженская центральная районная больница";1750.7059999999999;1750.7059999999999;;;;;;
96;924;Бюджетное учреждение здравоохранения Вологодской области "Никольская центральная районная больница";184017.05606;35855.418119999995;;;;;-22333.330829999999;
97;925;Бюджетное учреждение здравоохранения Вологодской области "Междуреченская центральная районная больница";95115.476150000002;22112.542420000002;;;;;;
98;926;Бюджетное учреждение здравоохранения Вологодской области "Нюксенская центральная районная больница";125892.89759000001;31411.642350000002;;;;;-18652.56279;
99;927;Бюджетное учреждение здравоохранения "Кирилловская центральная районная больница";53355.351090000004;29158.664920000003;;;;;;
100;928;Бюджетное учреждение здравоохранения Вологодской области "Устюженская центральная районная больница";177859.31;117338.55247;;;;;-112533.07285;
101;929;Бюджетное учреждение здравоохранения Вологодской области "Харовская центральная районная больница";142149.17059999998;68169.090930000006;;;;;-48204.658479999998;
102;930;Бюджетное учреждение здравоохранения Вологодской области "Бабаевская центральная районная больница";168410.64249999999;62619.7929;;;;;-31223.671129999999;
103;931;Бюджетное учреждение здравоохранения Вологодской области "Бабушкинская центральная районная больница";74475.836049999998;26640.252170000003;;;;;-14211.11543;
104;932;Бюджетное учреждение здравоохранения Вологодской области "Белозерская центральная районная больница";204109.44552000001;84052.172059999997;;;;;-56590.634460000001;
105;934;Бюджетное учреждение здравоохранения Вологодской области "Верховажская центральная районная больница";115521.83259999999;72022.548859999995;;;;;;
106;935;Бюджетное учреждение здравоохранения Вологодской области "Вожегодская центральная районная больница";88911.562659999996;27947.650249999999;84.49;2325.83169;;;-16084.64849;
107;936;Бюджетное учреждение здравоохранения "Вологодская центральная районная больница";127034.70381000001;46492.804389999998;;;;;;
108;937;Бюджетное учреждение здравоохранения Вологодской области "Грязовецкая центральная районная больница";247694.3426;143709.77700999999;;;;;-91903.804870000007;
109;938;Бюджетное учреждение здравоохранения Вологодской области "Кичменгско-Городецкая центральная районная больница" имени В.И. Коржавина;185059.42244999998;125438.86645;;;;;;
110;939;Бюджетное учреждение здравоохранения Вологодской области "Тарногская центральная районная больница";100225.05828;52779.283909999998;;;;;;
111;940;Бюджетное учреждение здравоохранения Вологодской области "Тотемская центральная районная больница";283204.30262000003;115645.27596;;;;;-81447.81121;
112;941;Бюджетное учреждение здравоохранения Вологодской области"Чагодощенская центральная районная больница";74721.932109999994;23362.01426;;;;;-12870.6054;
113;942;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая центральная районная поликлиника";1168.5160000000001;1168.5160000000001;;;;;;
114;943;Бюджетное учреждение здравоохранения Вологодской области "Шекснинская центральная районная больница";200313.30950999999;83894.636590000009;;;;;60021.91115;
115;944;Бюджетное учреждение здравоохранения Вологодской области "Кадуйская центральная районная больница";106246.50446;22953.387129999999;;;;;;
116;945;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская больница №2";85375.54965999999;34308.56914;8000;5603.8677900000002;;;;
117;946;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №4";55293.45678;20512.096030000001;;;;;;
118;947;Бюджетное учреждение здравоохранения Вологодской области "Вытегорская центральная районная больница";114389.19755;36978.939859999999;;;;;;
119;948;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская больница №1";496441.94056000002;215356.04008000001;;;;;;
120;949;Бюджетное учреждение здравоохранения Вологодской области "Усть-Кубинская центральная районная больница";68656.843549999991;11461.90985;;;;;;
121;953;Бюджетное учреждение здравоохранения Вологодской области "Медико-санитарная часть "Северсталь";361127.90273000003;61085.529990000003;;;;;178403.90732;
122;954;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая городская больница №2";249784.67261000001;57826.512289999999;;;;;-20740.511699999999;
123;955;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая детская городская больница";276206.01264999999;118832.44149;;;;;;
124;984;Бюджетное учреждение здравоохранения Вологодской области "Детский специализированный психоневрологический санаторий";81340.428329999995;59501.352370000001;;;;;28.957740000000001;
125;986;Бюджетное учреждение здравоохранения Вологодской области "Дом ребенка специализированный №2";19964.461899999998;7779.4936799999996;;;;;121.85116000000001;
126;988;Бюджетное учреждение здравоохранения Вологодской области "Дом ребенка специализированный №1";30291.383420000002;14174.269630000001;;;0.19500000000000001;;;
127;1003;Бюджетное учреждение здравоохранения Вологодской области "Детский противотуберкулезный санаторий "Серебряный Бор";13070.4787;6123.5660199999993;;;;;-5867.6377699999994;
128;2088;Бюджетное учреждение здравоохранения Вологодской области  "Вологодский областной центр планирования семьи и репродукции";10313.89825;5296.4488200000005;;;;;-5204.5729800000008;
129;3175;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной Центр контроля качества и сертификации лекарственных средств";3760.0311699999997;216.41647;;;;;-28.889419999999998;
130;3601;Бюджетное учреждение здравоохранения Вологодской области "Вашкинская центральная районная больница";112851.77529999999;74417.72653;;;;;;
131;3602;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №2";39480.59577;20145.30688;;;;;;
132;3603;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №1";501221.65500999999;408326.59042000002;;;;;;
133;3604;бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника № 5";19878.52664;6409.9967999999999;;;;;-5734.1752000000006;
134;3605;Бюджетное учреждение здравоохранения Вологодской области "Вологодская детская стоматологическая поликлиника №2";11078.404339999999;5123.8585199999998;;;;;-1845.35626;
